identifier;libelle
0;Commune rurale
1;Commune appartenant à une unité urbaine de 2 000 à 4 999 habitants
2;Commune appartenant à une unité urbaine de 5 000 à 9 999 habitants
3;Commune appartenant à une unité urbaine de 10 000 à 19 999 habitants
4;Commune appartenant à une unité urbaine de 20 000 à 49 999 habitants
5;Commune appartenant à une unité urbaine de 50 000 à 99 999 habitants
6;Commune appartenant à une unité urbaine de 100 000 à 199 999 habitants
7;Commune appartenant à une unité urbaine de 200 000 à 1 999 999 habitants
8;Commune appartenant à l'unité urbaine de Paris
