Nom de la gare;Code UIC complet;Code postal;Segmentation DRG 2018;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Achères Ville;87381657;78260;b;3478859;3478859;3497615;3497615;3454567;3454567.61476;3389509;3389509
Aigueperse;87734129;63260;c;70745;70745;77218;77218;78088;78088.548968;75873;75873
Aigues-Mortes;87775858;30220;c;5311;5311;4822;4822;3546;3546.21122;3917;3917
Aiserey;87713636;21110;c;24241;24241;25375;25375;24134;24134.894286;26267;26267
Albi;87615005;81000;b;368147;460184;432819;541024;392651;490814.2075;412872;516090
Albigny - Neuville;87721266;69250;b;229444;286806;246020;307525;231790;289737.876352;239630;299538
Alençon;87444711;61000;b;370206;462758;408691;510863;393130;491412.549465;434601;543251
Allée de la Tour Rendez-Vous;87113878;93320;b;643913;643913;668143;668143;681158;681158.267449;690917;690917
Altkirch;87182238;68130;b;303746;379683;310531;388164;286839;358549.940248;284515;355644
Andelot;87715102;39320;c;4050;4050;6806;6806;9288;9288.3433;9918;9918
Annemasse;87745497;74100;b;618090;772613;793906;992382;767099;958873.84092;781951;977439
Anstaing;87287219;59152;c;0;0;0;0;5;5.0;2;2
Anzeling;87191387;57320;c;1191;1191;744;744;657;657.598166;791;791
Arbanats;87582726;33640;c;42489;42489;40409;40409;38450;38450.947832;40206;40206
Arbois;87718155;39600;c;44352;44352;50131;50131;42298;42298.047462;50090;50090
Arnèke;87281121;59285;b;120466;150582;126380;157975;124209;155262.06863;117986;147483
Arrou;87394486;28290;c;7113;7113;7322;7322;6770;6770.304342;6001;6001
Assat;87672162;64510;c;151;151;168;168;461;461.4;236;236
Athis-Mons;87545251;91200;b;1691590;1691590;1687816;1687816;1709096;1709096.15839;1661728;1661728
Aubie - Saint-Antoine;87491233;33240;c;30075;30075;25566;25566;19924;19924.565702;16770;16770
Aubigny-en-Artois;87342246;62690;c;48982;48982;58250;58250;60607;60607.340732;63351;63351
Aubin;87613224;12110;c;5550;5550;5790;5790;5577;5577.821236;6528;6528
Aubin-Saint-Vaast;87316604;62140;c;83;83;3;3;32;32.0;46;46
Auchy-lès-Hesdin;87317230;62770;c;1414;1414;5041;5041;7936;7936.63023;9640;9640
Audrieu;87444059;14250;c;14323;14323;16234;16234;16471;16471.85892;16984;16984
Aulnay-sous-Bois;87271411;93600;b;25200039;25200039;25205132;25205132;24497746;24497746.084;23829397;23829397
Aulnoye-Aymeries;87295600;59620;b;597836;747296;614240;767801;580610;725763.556842;604945;756182
Aumale;87313767;76390;c;1693;1693;2295;2295;1727;1727.3;1926;1926
Aurillac;87645002;15000;b;136951;171189;154733;193417;143170;178963.640228;160641;200801
Avallon;87683789;89200;c;36833;36833;41444;41444;36096;36096.457142;39727;39727
Avenue du Président Kennedy Maison de Radio France;87543207;75016;b;1776073;1776073;1836151;1836151;299696;299696.347335;302743;302743
Avignonet;87616011;31290;c;17746;17746;26703;26703;26652;26652.192288;28211;28211
Babinière;87590349;44240;c;93097;93097;114818;114818;107295;107295.68244;96983;96983
Bagnac;87613604;46270;c;3358;3358;4727;4727;4038;4038.9;4367;4367
Bailleau-le-pin;87394411;28120;c;76427;76427;74398;74398;75577;75577.54198;77159;77159
Bailleul-Sir-Berthoult;87342592;62580;c;687;687;951;951;1628;1628.445906;1035;1035
Banyuls-sur-Mer;87784298;66650;c;64538;64538;80181;80181;71187;71187.199702;73499;73499
Barsac;87582759;33720;c;17065;17065;20850;20850;21672;21672.76852;23455;23455
Base Aérienne;87699223;41200;c;0;0;0;0;0;0.0;0;0
Bassens;87581850;33530;c;24017;24017;18450;18450;13262;13262.82405;16097;16097
Bauvin - Provin;87345280;59221;b;175839;219799;180078;225098;174049;217562.032912;173097;216372
Bayeux;87444067;14400;b;489769;612212;547532;684415;530050;662562.983018;555799;694749
Bazoches;87171348;2220;c;8488;8488;8864;8864;10238;10238.844878;10352;10352
Beaumont-le-Roger;87387183;27170;c;13543;13543;14013;14013;12102;12102.768548;12389;12389
Beautiran;87582700;33640;b;235945;294931;220784;275980;202064;252580.137593;178820;223526
Beauvoir-sur-Niort;87485342;79360;c;24235;24235;24545;24545;24094;24094.741104;22629;22629
Bédarieux;87781609;34600;c;15337;15337;17095;17095;16859;16859.296768;17230;17230
Beillant;87491076;17800;c;11;11;200;200;205;205.1;396;396
Belfort;87184002;90000;b;1006802;1258503;1146193;1432741;1059616;1324520.77034;1159439;1449299
Bellac;87592485;87300;c;23075;23075;34347;34347;36090;36090.743806;32527;32527
Belvezet;87783670;48170;c;290;290;609;609;549;549.645162;201;201
Béning;87193250;57800;b;108518;135648;126267;157834;119276;149095.921778;127840;159800
Berlaimont;87295808;59145;c;17711;17711;18551;18551;15493;15493.379402;19691;19691
Berthelming;87215335;57930;c;21396;21396;20083;20083;20717;20717.83354;19951;19951
Besançon Mouillère;87718015;25000;b;76137;95171;92077;115096;83461;104326.609867;96710;120887
Bétaille;87594747;46110;c;20;20;7;7;7;7.0;70;70
Beuvrages;87343160;59192;c;1776;1776;2968;2968;2329;2329.755206;3170;3170
Beuvry lès Béthune;87342402;62660;c;12855;12855;13702;13702;12758;12758.55712;14810;14810
Bigny;87576306;18190;c;1061;1061;1996;1996;1920;1920.348286;2098;2098
Billy-Montigny;87345140;62420;b;221159;276449;221829;277286;203519;254399.321225;213104;266380
Bischoffsheim;87214296;67830;b;122565;153206;122728;153410;122510;153137.915448;127673;159592
Bitschwiller;87182576;68620;c;32939;32939;35640;35640;33589;33589.043422;37642;37642
Bléré la Croix;87574475;37150;b;139736;174670;139181;173976;127815;159769.47423;128280;160351
Bois-Colombes;87381079;92270;b;5454610;5454610;5475483;5475483;5379608;5379608.45233;5290913;5290913
Boisleux;87342071;62175;c;1115;1115;894;894;636;636.796774;1478;1478
Bolquère - Eyne;87784801;66210;c;1188;1188;1378;1378;1473;1473.0;1720;1720
Bons-en-Chablais;87745596;74890;b;93004;116255;120032;150040;105884;132355.47395;101953;127442
Boulogne;87317586;62200;b;784536;980670;857777;1072222;858187;1072734.33291;921416;1151770
Bouray;87545178;91850;b;1459672;1459672;1470879;1470879;1430862;1430862.93635;1399685;1399685
Bourges;87576207;18000;a;843252;1054065;915112;1143891;880015;1100019.43277;957058;1196322
Bourgneuf-en-Retz;87481242;44580;c;14560;14560;15541;15541;14164;14164.137474;11131;11131
Bourgtheroulde - Thuit-Hébert;87415323;27520;c;1534;1534;1717;1717;2347;2347.199996;2591;2591
Bourron-Marlotte - Grez;87684118;77780;c;142342;142342;127852;127852;129563;129563.136365;113679;113679
Bourth;87393603;27580;c;0;0;82;82;469;469.225806;385;385
Brandérion;87476242;56700;c;3550;3550;2015;2015;1601;1601.2;2008;2008
Breteil;87471102;35160;c;78865;78865;80861;80861;86106;86106.933742;81703;81703
Breuil - Romain;87171322;51140;c;13976;13976;13838;13838;13118;13118.49783;23285;23285
Breuillet Village;87545491;91650;b;670303;670303;665433;665433;636392;636392.616858;615957;615957
Briare;87696088;45250;c;43985;43985;48170;48170;45392;45392.287854;50561;50561
Brimeux;87317180;62170;c;3;3;451;451;514;514.158064;1431;1431
Brion - Montréal-la-Cluse;87131961;1460;c;32292;32292;32521;32521;38422;38422.230324;44243;44243
Broye;87694166;71190;c;6919;6919;7856;7856;6225;6225.556048;5896;5896
Buire-sur-l'Ancre;87316067;80300;c;2632;2632;3036;3036;2704;2704.243626;2244;2244
Cadaujac;87582684;33140;c;41353;41353;42938;42938;38884;38884.634198;41806;41806
Caffiers;87317321;62132;c;2945;2945;3274;3274;5727;5727.350558;6298;6298
Capvern;87671156;65130;c;3673;3673;6742;6742;7984;7984.078908;8146;8146
Carmaux;87615625;81400;c;76308;76308;96438;96438;89990;89990.345422;100213;100213
Carpentras;87765735;84000;c;313065;313065;356186;356186;257686;257686.213175;149254;149254
Castelnau-d'Estrétefonds;87611665;31620;b;201012;251266;235142;293928;223630;279538.059858;207877;259846
Castres;87615468;81100;b;125499;156874;179620;224526;174902;218628.41199;196675;245844
Caudrot;87582841;33490;c;6238;6238;5031;5031;5406;5406.179988;8742;8742
Caussade;87613356;82300;c;81556;81556;102636;102636;99606;99606.548316;104795;104795
Cergy le Haut;87382655;95800;b;6755489;6755489;6809697;6809697;6743592;6743592.88021;6647546;6647546
Cergy Saint-Christophe;87382499;95800;b;7359555;7359555;7125540;7125540;6806298;6806298.65757;6453027;6453027
Châbons;87747212;38690;c;51640;51640;53309;53309;50770;50770.404108;47815;47815
Châlons-en-Champagne;87174003;51000;b;717835;897293;825899;1032374;796200;995250.450255;840726;1050907
Chamborigaud;87775221;30530;c;4313;4313;5158;5158;5442;5442.138698;5384;5384
Champbenoist Poigny;87115873;77160;b;257554;257554;238331;238331;216719;216719.063279;196027;196027
Chaponval;87276162;95430;c;55078;55078;54127;54127;50980;50980.9611802;51521;51521
Charleville-Mézières;87172007;8000;a;973619;1301109;1080642;1444131;1079803;1443010.52158;1156793;1545897
Charmes;87144055;88130;b;276459;345574;284407;355509;280450;350562.81135;288612;360765
Chartrettes;87682419;77590;c;52511;52511;50979;50979;51074;51074.0757597;48281;48281
Châteaubourg;87471524;35220;b;417333;521666;419143;523929;401892;502365.82561;390234;487793
Châteaubriant;87481648;44110;c;120640;120640;133107;133107;129647;129647.400044;132640;132640
Châteauroux;87597005;36000;a;728454;910567;787944;984930;751042;938803.624117;784887;981109
Châtelaillon;87485110;17340;c;68306;68306;87581;87581;78511;78511.979998;81090;81090
Châtelet les Halles;87758607;75001;;25094191;25094191;26844330;26844330;28239207;28239207.6888;29526620;29526620
Cheilly-lès-Maranges;87694398;71150;c;8213;8213;6454;6454;5515;5515.513458;4566;4566
Chèvremont;87184259;90340;c;0;0;467;467;792;792.989472;1111;1111
Clamecy;87696807;58500;c;21852;21852;24943;24943;23797;23797.0;25616;25616
Clermont-Ferrand;87734004;63000;a;3487397;4359247;3750558;4688198;3498462;4373078.44366;3717742;4647177
Cloyes;87574509;28220;c;11289;11289;11580;11580;12263;12263.86;14041;14041
Coarraze - Nay;87672139;64800;c;23642;23642;31709;31709;31169;31169.884684;31465;31465
Coat Guégan;87473579;22390;c;1681;1681;2851;2851;3547;3547.86477;2796;2796
Colomiers;87611467;31770;b;246880;308601;310686;388358;295124;368906.002893;311046;388807
Colroy - Lubine;87144386;88490;c;18;18;140;140;587;587.0;247;247
Conches;87387159;27190;b;96123;120154;104160;130200;97605;122007.339485;101292;126615
Condé-sur-Huisne;87394288;61110;c;12395;12395;13533;13533;16329;16329.182316;18717;18717
Conflans Fin d'Oise;87381459;78700;b;5332767;5332767;5476739;5476739;5490546;5490546.60461;5498687;5498687
Connerré - Beillé;87396309;72160;b;158737;198421;167834;209792;164999;206249.52274;179177;223971
Contrexéville;87144287;88140;c;26665;26665;30915;30915;37162;37162.82314;43759;43759
Cormeilles-en-Parisis;87381863;95240;b;3816371;3816371;4026382;4026382;3843422;3843422.64839;3679275;3679275
Couffoulens - Leuc;87615120;11250;c;33;33;255;255;571;571.2;709;709
Couilly - Saint-Germain - Quincy;87116731;77860;c;130212;130212;122536;122536;112995;112995.847154;103643;103643
Courtalain - Saint-Pellerin;87394494;28290;c;4586;4586;4140;4140;5170;5170.26;5739;5739
Coussac-Bonneval;87592840;87500;c;378;378;868;868;1269;1269.44;1187;1187
Coutances;87447110;50200;b;124199;155249;147753;184691;144214;180268.730068;161247;201559
Cravant - Bazarnes;87683649;89460;c;7305;7305;8550;8550;7629;7629.9;12819;12819
Crécy-la-Chapelle;87116772;77580;b;163263;163263;168691;168691;171003;171003.442339;172569;172569
Crépieux la Pape;87723502;69140;c;6463;6463;7130;7130;6194;6194.067894;7511;7511
Croix - Wasquehal;87286716;59170;c;6510;6510;6880;6880;6973;6973.852902;10385;10385
Cuinchy;87342410;62149;c;44635;44635;47566;47566;46774;46774.499336;47637;47637
Cysoing;87286781;59830;c;5;5;29;29;768;768.315788;2569;2569
Dambach-la-Ville;87214213;67650;c;29842;29842;33397;33397;37955;37955.895572;36828;36828
Dammartin - Juilly - Saint-Mard;87271536;77230;b;851079;851079;825147;825147;757159;757159.47517;693735;693735
Dangé-Saint-Romain;87575126;86220;c;12949;12949;11270;11270;13323;13323.670174;14147;14147
Dannes - Camiers;87317081;62187;c;9826;9826;11730;11730;15102;15102.45292;13095;13095
Dardilly le Jubin;87721449;69570;c;39246;39246;42798;42798;45995;45995.829696;53696;53696
Dardilly les Mouilles;87721480;69570;c;23723;23723;19482;19482;19157;19157.04679;11502;11502
Deville;87172064;8800;c;20934;20934;24211;24211;25000;25000.179982;28099;28099
Diarville;87141648;54930;c;2234;2234;1745;1745;1284;1284.07049;2125;2125
Dieppe;87415018;76200;b;502031;627539;505178;631472;479196;598995.20522;513611;642014
Dol-de-Bretagne;87478073;35120;b;380495;475619;404127;505159;379307;474134.792472;394141;492676
Domfront;87396200;72240;c;13210;13210;13090;13090;13321;13321.264754;12836;12836
Dommartin - Lissieu;87721738;69380;c;9959;9959;9114;9114;8849;8849.732316;10901;10901
Domont;87276436;95330;b;2694723;2694723;2673396;2673396;2679233;2679233.26596;2713221;2713221
Dreuil-lès-Amiens;87316075;80730;c;9338;9338;10017;10017;12829;12829.521856;13322;13322
Durtol - Nohanent;87641449;63830;c;347;347;590;590;756;756.5;502;502
Duttlenheim;87214544;67120;b;164186;205233;163739;204673;161498;201873.422917;162140;202676
Ébersviller;87191379;57320;c;4915;4915;5546;5546;5552;5552.205836;7297;7297
Ennevelin;87287276;59710;c;714;714;471;471;321;321.6;907;907
Entraigues-sur-la-Sorgue;87765826;84700;c;77547;77547;93044;93044;54435;54435.6079808;31693;31693
Entzheim Aéroport;87214528;67960;b;343863;429828;348098;435123;344805;431006.785335;347033;433791
Épernon;87394114;28230;b;1392274;1740343;1456641;1820802;1460910;1826138.53534;1513995;1892494
Épône - Mézières;87386763;78680;b;1063555;1063555;1182972;1182972;1293227;1293227.35944;1350373;1350373
Erdre-Active;87590356;44240;c;33668;33668;31751;31751;23906;23906.0103;20552;20552
Ermont Halte;87276584;95120;b;1022305;1022305;959969;959969;941014;941014.078614;915431;915431
Esches;87272096;60110;c;42395;42395;44624;44624;38543;38543.426938;32991;32991
Espéraza;87615211;11260;c;322;322;440;440;369;369.0;335;335
Esvres sur Indre;87571422;37320;c;28381;28381;24786;24786;22696;22696.891824;21833;21833
Étréchy;87545145;91580;b;711780;711780;746860;746860;749509;749509.481788;765679;765679
Eurville;87175141;52410;c;733;733;694;694;985;985.34;1265;1265
Évian-les-Bains;87745679;74500;b;153441;191801;184932;231165;173811;217264.58559;187774;234717
Évry;87681361;91000;b;982649;982649;1018150;1018150;1031921;1031921.63642;1045105;1045105
Exideuil;87592881;16150;c;0;0;79;79;288;288.26;834;834
Faremoutiers - Pommeuse;87116277;77515;b;249424;249424;258720;258720;262453;262453.811725;265345;265345
Fegersheim - Lipsheim;87212266;67640;b;128758;160948;141076;176345;172602;215753.140972;163744;204680
Felletin;87597849;23500;c;2634;2634;4007;4007;4390;4390.2;5673;5673
Ferrières - Fontenay;87684241;45210;c;32049;32049;35639;35639;36806;36806.4696357;40832;40832
Fismes;87171330;51170;b;184856;231070;205140;256425;195869;244836.622132;199571;249464
Flers;87448001;61100;b;118812;148515;126503;158129;125648;157061.001935;121625;152031
Foix;87611616;9000;b;181705;227132;227901;284877;221001;276252.123857;246977;308721
Folligny;87447649;50320;c;8596;8596;12712;12712;12051;12051.5;15101;15101
Formerie;87313833;60220;c;7809;7809;7501;7501;6118;6118.829752;6138;6138
Foug;87141036;54570;c;7761;7761;9859;9859;10024;10024.00834;10217;10217
Fraisses - Unieux;87726737;42490;c;434;434;149;149;808;808.0;943;943
Franois;87718304;25770;c;12811;12811;28351;28351;25535;25535.708996;24509;24509
Frasne;87715136;25560;b;154920;193651;172159;215199;167460;209326.071512;166428;208036
Freinville Sevran;87113894;93270;b;1159864;1159864;1170200;1170200;1158201;1158201.5673;1144456;1144456
Fréjus - Saint-Raphael Autotrain;87757518;83700;c;32;32;51;51;95;95.0;4175;4175
Fretin;87286641;59273;c;85673;85673;95226;95226;84236;84236.450962;87880;87880
Gan;87672618;64290;c;2131;2131;2428;2428;2614;2614.64;2578;2578
Gandrange - Amnéville;87191742;57175;c;2456;2456;3584;3584;6408;6408.165918;10354;10354
Gap;87763003;5000;b;294714;368393;357164;446455;344884;431105.149155;357486;446858
Gardonne;87584235;24680;c;38151;38151;43953;43953;37293;37293.616204;33820;33820
Geispolsheim;87212258;67118;c;60392;60392;69625;69625;92680;92680.563094;87532;87532
Génelard;87694653;71420;c;9809;9809;10541;10541;8517;8517.202468;7554;7554
Générac;87775791;30510;c;357;357;434;434;218;218.0;354;354
Génolhac;87775213;30450;c;26077;26077;28878;28878;30160;30160.451504;26947;26947
Gevrey-Chambertin;87713503;21220;c;91622;91622;99128;99128;86418;86418.594286;95685;95685
Gilley;87718577;25650;c;16559;16559;16797;16797;13031;13031.054592;21001;21001
Gilly-sur-Loire;87694869;71160;c;2677;2677;4186;4186;5764;5764.771768;6047;6047
Gimont Cahuzac;87611772;32200;c;43555;43555;56408;56408;51139;51139.274552;57265;57265
Gironde;87582858;33190;c;1725;1725;2468;2468;3028;3028.899984;2968;2968
Givors;87722405;69700;b;790672;988341;883281;1104102;813588;1016986.01288;817714;1022142
Glos - Montfort;87415349;27290;c;1253;1253;772;772;1213;1213.959998;1769;1769
Gournay - Ferrières;87381293;76220;c;10094;10094;13094;13094;10654;10654.52856;13070;13070
Goussainville;87276246;95190;b;5865162;5865162;5608444;5608444;5256962;5256962.24242;4912463;4912463
Gragnague;87615377;31380;c;13357;13357;13242;13242;13393;13393.419102;11090;11090
Gramat;87613059;46500;c;12205;12205;14971;14971;16179;16179.12;16898;16898
Grand-Combe la Pise;87775254;30110;c;19328;19328;24853;24853;24681;24681.69547;19051;19051
Grésy-sur-Aix;87746107;73100;c;60119;60119;65582;65582;61292;61292.233362;67310;67310
Grisolles;87611673;82170;c;76716;76716;94720;94720;93638;93638.45488;92928;92928
Guichen - Bourg-des-Comptes;87471151;35580;b;138612;173265;131237;164047;127139;158923.80848;127138;158923
Gundershoffen;87213223;67110;c;64665;64665;64765;64765;72360;72360.443742;75320;75320
Hagondange;87191114;57300;b;1014190;1267737;1073014;1341267;1105289;1381611.29135;1154164;1442705
Haluchère Batignolles;87590331;44000;c;97512;97512;92615;92615;94348;94348.37694;88181;88181
Harfleur Halte;87413708;76700;c;3871;3871;4858;4858;4973;4973.294286;4463;4463
Hautmont;87295568;59330;c;77176;77176;79194;79194;68744;68744.029822;72206;72206
Hellemmes;87286062;59260;c;3003;3003;2678;2678;3459;3459.387096;4392;4392
Herchies;87313692;60112;c;5298;5298;7492;7492;6313;6313.269414;5587;5587
Hesdigneul;87317107;62196;c;25969;25969;27056;27056;26452;26452.602574;28132;28132
Hoelschloch;87213413;67250;c;18341;18341;18232;18232;21663;21663.351706;20874;20874
Hombourg-Budange;87191353;57920;c;907;907;507;507;629;629.8;1212;1212
Hyères;87755629;83400;b;454827;568534;500037;625047;397577;496971.961884;231025;288782
Igny;87393561;91430;b;465559;465559;474176;474176;492091;492091.365151;488025;488025
Ille-sur-Têt;87784561;66130;c;677;677;2075;2075;2156;2156.408302;2307;2307
Ingersheim Cité Scolaire;87303875;68040;c;20227;20227;26196;26196;29867;29867.937602;31209;31209
Ingwiller;87213785;67340;b;223733;279666;229656;287070;223643;279553.892732;223294;279117
Invalides;87393033;75007;b;11469823;11469823;11941725;11941725;11870546;11870546.9552;12105869;12105869
Isbergues;87342279;62330;b;166535;208169;180402;225503;176030;220037.793227;196134;245167
Ivry-sur-Seine;87545301;94200;b;5029448;5029448;5034584;5034584;5164148;5164148.33919;5040015;5040015
Janzé;87471334;35150;b;159868;199836;164231;205288;245238;306547.798368;294176;367720
Jarnac;87491472;16200;c;34251;34251;42313;42313;43861;43861.4122;43809;43809
Jassonneix;87594085;19250;c;650;650;971;971;651;651.4;17;17
Joigny;87683243;89300;b;326242;407803;358640;448301;326556;408195.544983;340390;425487
Joncherey;87700153;90100;c;120;120;0;0;0;0.0;0;0
Kalhausen;87193664;57412;c;12902;12902;12170;12170;12860;12860.239998;13738;13738
Kédange;87191346;57920;c;3893;3893;3961;3961;4842;4842.199768;6435;6435
La Bachellerie;87595595;24210;c;668;668;706;706;1061;1061.999994;957;957
La Bassée;87342436;59480;b;254644;318305;275219;344024;262023;327529.02964;241266;301583
La Baule-Escoublac;87481754;44500;a;430546;538183;456863;571079;428078;535098.504255;401904;502380
La Chapelle Centre;87481564;44240;c;25404;25404;24352;24352;24850;24850.581494;20869;20869
La Douzillère;87009696;37300;c;11104;11104;11507;11507;13502;13502.776532;17749;17749
La Faloise;87313239;80250;c;8237;8237;8856;8856;9104;9104.75366;9207;9207
La Ferté-Alais;87681452;91590;b;429030;429030;457395;457395;477363;477363.901522;496233;496233
La Fontaine;87286427;59136;c;3634;3634;4687;4687;5429;5429.305162;4910;4910
La Frayère;87757740;6400;c;58456;58456;28316;28316;57061;57061.2217498;54379;54379
La Garenne-Colombes;87386003;92250;b;4106443;4106443;4128855;4128855;4073202;4073202.21123;3995177;3995177
La Jonchère;87592337;87340;c;12394;12394;13285;13285;13579;13579.986756;13240;13240
La Joux;87746842;74400;c;370;370;202;202;239;239.0;322;322
La Marche;87691394;58400;c;413;413;114;114;114;114.0;505;505
La Miouze - Rochefort;87641290;63310;c;530;530;265;265;175;175.6;744;744
La Mothe-Achard;87486423;85150;c;50511;50511;52838;52838;50390;50390.026634;47771;47771
La Mothe-Saint-Héray;87485508;79800;c;1888;1888;2481;2481;2661;2661.936318;2827;2827
La Pauline Hyères;87755314;83400;c;96754;96754;103908;103908;82731;82731.2625097;78343;78343
La Penne-sur-Huveaune;87751743;13821;c;65286;65286;75227;75227;66088;66088.1397096;53456;53456
La Réole;87582866;33190;b;195791;244738;205696;257120;196201;245251.414995;197320;246650
La Rochefoucauld;87583427;16110;c;3766;3766;11004;11004;16401;16401.619712;20238;20238
La Roche-sur-Yon;87486019;85000;a;847396;1059245;900931;1126164;874411;1093014.84517;905764;1132205
La Souterraine;87592378;23300;b;179872;224841;200013;250017;186234;232792.677255;194093;242616
La Taye;87394403;28110;c;11314;11314;13316;13316;13412;13412.298232;13670;13670
La Teste;87582643;33260;b;336431;420539;344846;431058;321391;401739.322868;337360;421700
La Tour-de-Salvagny;87721548;69890;c;127182;127182;130905;130905;114729;114729.733362;94063;94063
Labarthe-Inard;87611129;31800;c;230;230;926;926;1310;1310.436014;962;962
L'Abbaye;87113886;93190;b;839658;839658;859485;859485;863405;863405.017869;865256;865256
Labenne;87673293;40530;c;30245;30245;30003;30003;27794;27794.601022;27985;27985
Laboissière - Le Déluge;87313676;60570;c;25292;25292;23832;23832;21395;21395.410252;17744;17744
Labruguière;87615526;81290;c;5795;5795;7676;7676;7179;7179.115206;8753;8753
Lacapelle-Viescamp;87645150;15150;c;31;31;9;9;16;16.0;32;32
Lacourtensourt;87611434;31200;c;30550;30550;30941;30941;29161;29161.88192;32813;32813
Lagny - Thorigny;87116319;77400;b;3854604;3854604;3812642;3812642;3695772;3695772.30613;3561964;3561964
Laifour;87172072;8800;c;13466;13466;13866;13866;14169;14169.127828;15579;15579
Lamballe;87473108;22400;b;444534;555668;440120;550151;419407;524259.914753;415735;519668
Lamonzie-Saint-Martin;87584243;24680;c;601;601;646;646;1289;1289.785714;1321;1321
Lamothe-Montravel;87584151;24230;c;3147;3147;5069;5069;6315;6315.096158;6628;6628
Lamotte-Beuvron;87543140;41600;b;180962;226203;187384;234230;191277;239096.74496;202074;252593
Landaul - Mendon;87476226;56690;c;20218;20218;18404;18404;17618;17618.444228;17177;17177
Laroque;87586412;47340;c;337;337;771;771;636;636.4;491;491
Le Buet;87746883;74660;c;1642;1642;1418;1418;1404;1404.0;1377;1377
Le Coudray-Montceaux;87681635;91830;c;124038;124038;114514;114514;103384;103384.817198;93102;93102
Le Croisic;87481788;44490;b;103756;129695;113864;142330;105241;131551.785933;97105;121382
Le Dorat;87592543;87210;c;17164;17164;21886;21886;25037;25037.542852;26369;26369
Le Lioran;87645473;15300;c;22312;22312;23083;23083;29538;29538.5;25580;25580
Le Méridien La Ferrière;87721522;69260;b;148699;185874;150003;187504;135763;169704.418013;124009;155012
Le Monastier;87783308;48100;c;329;329;324;324;357;357.0;531;531
Le Plessis Chenet;87681627;91830;c;42263;42263;44166;44166;45193;45193.6487044;45980;45980
Le Poirier Université;87343210;59125;b;158245;197807;155320;194150;134365;167957.379963;146596;183246
Le Teil;87764472;7400;c;4794;4794;1967;1967;4536;4536.00526;9167;9167
Le Theil - La Rouge;87396333;61260;c;18549;18549;18680;18680;20037;20037.525932;21490;21490
Le Thor;87765453;84250;c;38304;38304;44403;44403;42567;42567.0302548;49717;49717
Le Tréport - Mers-les-Bains;87317529;76470;c;40868;40868;49062;49062;50976;50976.210134;56461;56461
Le Valdahon Camp Militaire;87718601;25800;c;3377;3377;4331;4331;3147;3147.8;3740;3740
Le Vert de Maisons;87681247;94700;b;2862439;2862439;3048839;3048839;3187409;3187409.51918;3318507;3318507
Lépanges;87144048;88600;c;3741;3741;4271;4271;4202;4202.819758;5395;5395
Lérouville;87175240;55200;c;7383;7383;6023;6023;4815;4815.74;5307;5307
Les Ardoines;87492108;94400;b;2582887;2582887;2578806;2578806;2513487;2513487.69082;2454343;2454343
Les Aubrais;87543017;45400;a;1585092;1981365;1666961;2083701;1620529;2025662.34897;1694525;2118157
Les Bossons;87746768;74400;c;4767;4767;5833;5833;6247;6247.052244;6857;6857
Les Cabannes;87611574;9310;c;6572;6572;7084;7084;6100;6100.994838;6548;6548
Les Flachères;87721704;69260;c;1432;1432;2175;2175;1560;1560.260374;1893;1893
Les Houches;87746743;74310;c;19264;19264;22584;22584;22390;22390.346858;19240;19240
Les Lacs;87471516;35500;c;14661;14661;14078;14078;12276;12276.381234;13065;13065
Les Martres-de-Veyre;87734178;63730;b;147413;184266;164243;205303;165126;206407.946805;167838;209797
Les Mureaux;87386680;78130;b;4272745;4272745;4202245;4202245;4054618;4054618.8353;4053572;4053572
Les Noues;87276238;95190;b;1597284;1597284;1661373;1661373;1696003;1696003.91452;1724995;1724995
Les Quatre-Routes;87594564;46110;c;1383;1383;1479;1479;1638;1638.6;2784;2784
Les Saules;87546226;94310;b;1296177;1296177;1318722;1318722;1427372;1427372.39245;1416849;1416849
Les Tines;87746834;74400;c;2767;2767;2270;2270;2590;2590.596014;2415;2415
Lesparre;87581314;33340;c;86740;86740;81733;81733;64273;64273.14306;70651;70651
Lesquin;87286849;59810;b;167601;209501;187268;234085;173908;217385.405365;175318;219147
L'Étang-la-Ville;87382473;78620;b;1320446;1320446;814251;814251;503902;503902.73742;496047;496047
Leval;87295790;59620;c;2959;2959;2184;2184;1752;1752.310432;1661;1661
L'Herbergement - Les Brouzils;87486126;85260;c;90305;90305;89563;89563;82761;82761.077162;73687;73687
Ligugé;87575274;86240;c;6316;6316;5552;5552;4968;4968.88;5478;5478
Lille Europe;87223263;59777;a;6938632;11013702;7494066;11895343;6983149;11084365.0268;7018263;11140100
Limeray;87574335;37530;c;6059;6059;7245;7245;7486;7486.475212;7109;7109
Limersheim;87212274;67150;c;95107;95107;88136;88136;82384;82384.894098;86933;86933
Limoges Montjovis;87592022;87100;c;13720;13720;19482;19482;18413;18413.092258;18741;18741
Limoux;87615161;11300;c;4776;4776;6259;6259;7119;7119.963864;6786;6786
Longueau;87313049;80330;b;439365;549207;460088;575110;446487;558108.833867;468219;585274
Lons-le-Saunier;87718239;39000;b;327804;409755;371572;464465;343976;429971.038922;354204;442755
