Nom de la gare;Code UIC complet;Code postal;Segmentation DRG 2018;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Maizières-lès-Metz;87191106;57210;b;216656;270820;243032;303790;236360;295450.007395;247054;308818
Malause;87611871;82200;c;162;162;432;432;794;794.2;1263;1263
Malling;87191627;57480;c;11;11;8;8;13;13.0;42;42
Mamirolle;87718510;25620;c;17418;17418;19376;19376;17105;17105.597142;18392;18392
Mantes-la-Jolie;87381509;78200;b;4160632;4160632;4580118;4580118;4474148;4474148.53002;4285827;4285827
Marcelcave;87313445;80720;c;45126;45126;41982;41982;41023;41023.655564;40878;40878
Mareil-sur-Mauldre;87381715;78124;c;82238;82238;81032;81032;76466;76466.9794567;71761;71761
Margival;87271882;2880;c;1;1;1;1;10;10.3;37;37
Marle sur Serre;87296095;2250;c;49286;49286;53603;53603;53784;53784.424952;56228;56228
Marles-en-Brie;87116228;77610;b;407915;407915;396509;396509;375605;375605.920864;354368;354368
Marlieux - Châtillon;87723767;1240;c;102360;102360;106378;106378;96291;96291.94161;100901;100901
Marmande;87586545;47200;b;419848;524811;445085;556357;419885;524856.38939;433512;541890
Maroeuil;87342188;62161;c;13588;13588;20374;20374;21672;21672.05688;22069;22069
Marsac;87597625;23210;c;3447;3447;5327;5327;4472;4472.661478;4083;4083
Massy - Verrières;87383281;91300;b;322704;322704;316810;316810;305954;305954.529847;293168;293168
Mennetou-sur-Cher;87576728;41320;c;2511;2511;2170;2170;1780;1780.970964;2167;2167
Mérens-les-Vals;87611525;9110;c;2318;2318;2514;2514;2448;2448.9;2236;2236
Meroux;87184408;90400;c;1385;1385;0;0;0;0.0;0;0
Mertzwiller;87213207;67580;c;88847;88847;83684;83684;80337;80337.223478;74110;74110
Méry-sur-Oise;87276667;95540;b;675032;675032;648598;648598;628216;628216.435619;626699;626699
Meudon;87393108;92190;b;1163411;1163411;1228883;1228883;1259449;1259449.37925;1282933;1282933
Meulan - Hardricourt;87381830;78250;b;493079;493079;438074;438074;452944;452944.104794;454914;454914
Meximieux - Pérouges;87723585;1800;b;681491;851864;714130;892663;675399;844249.659822;679778;849722
Milhaud;87775098;30540;c;3206;3206;3753;3753;3213;3213.519352;2195;2195
Milly-sur-Thérain;87313700;60112;c;7516;7516;7719;7719;7829;7829.958052;8988;8988
Miniac;87478131;35540;c;371;371;163;163;916;916.3;1223;1223
Miramas;87753004;13140;b;617949;772436;666781;833476;625844;782305.137038;636861;796076
Mitry - Claye;87271528;77290;b;2991182;2991182;3035110;3035110;3019127;3019127.78648;2979341;2979341
Moirans;87747329;38430;b;663292;829115;746284;932855;722730;903412.79424;751969;939962
Molinges;87743591;39360;c;934;934;1968;1968;2072;2072.48812;1452;1452
Montaignac-Saint-Hippolyte;87594135;19300;c;773;773;992;992;1050;1050.799998;759;759
Montargis;87684001;45200;b;1645443;2056804;1673680;2092101;1597971;1997464.08611;1594048;1992560
Montendre;87491183;17130;c;39578;39578;38497;38497;30199;30199.957508;35834;35834
Montereau;87682302;77130;b;1220944;1220944;1255791;1255791;1186828;1186828.3837;1169669;1169669
Montescourt;87296418;2440;c;13215;13215;17121;17121;15710;15710.397606;17477;17477
Montfavet;87765412;84140;c;23635;23635;23364;23364;20494;20494.477836;21094;21094
Montluçon;87641001;3100;b;309296;386620;345749;432186;343667;429584.27615;380565;475707
Montmédy;87194209;55600;c;4739;4739;7056;7056;8207;8207.4;9503;9503
Montmoreau;87583674;16190;c;10751;10751;9864;9864;8077;8077.031416;8848;8848
Montoir-de-Bretagne;87481713;44550;c;21635;21635;13949;13949;12574;12574.043714;11588;11588
Montpaon;87781534;12540;c;192;192;254;254;329;329.0;530;530
Montpon-Ménestérol;87595322;24700;b;128349;160437;139407;174259;137303;171629.436397;134378;167973
Montreuil sur Mer;87317164;62170;c;2112;2112;29338;29338;51489;51489.422892;57554;57554
Montreuil-Bellay;87487637;49260;c;5807;5807;5441;5441;6366;6366.22;7024;7024
Montrond-les-Bains;87726885;42210;b;100717;125896;105199;131499;95908;119885.901905;105934;132418
Mormant;87116087;77720;b;485186;485186;468683;468683;443759;443759.605665;417233;417233
Morre;87391300;25660;c;10191;10191;10453;10453;10325;10325.64;11412;11412
Mouans-Sartoux;87401323;6370;c;116753;116753;41490;41490;120438;120438.875793;126323;126323
Moûtiers - Salins - Brides-les-Bains;87741728;73600;a;357750;447188;369547;461934;375300;469126.137986;391780;489725
Mulhouse Musées;87534339;68200;c;0;0;0;0;0;0.0;0;0
Najac;87613463;12270;c;6466;6466;8610;8610;7247;7247.0;7567;7567
Nantiat;87592444;87140;c;14570;14570;18904;18904;19632;19632.975514;19161;19161
Négrondes;87595132;24460;c;1607;1607;1898;1898;2600;2600.199996;2202;2202
Nerpuy;87575167;86630;c;5377;5377;3317;3317;3850;3850.1233;4050;4050
Nesle;87313486;80190;c;61864;61864;66003;66003;63239;63239.409946;66017;66017
Neuilly-Saint-Front;87116681;2470;c;2005;2005;2191;2191;2920;2920.76685;3696;3696
Neuville Université;87334482;95000;b;2781923;2781923;2746573;2746573;2663428;2663428.05221;2580329;2580329
Nice;87756056;6008;a;8415150;9785058;9028045;10497727;8030193;9337434.54971;8394842;9761445
Nice Pont Michel;87590299;6088;c;20167;20167;26358;26358;22258;22258.020325;17235;17235
Niolon;87753582;13016;c;29873;29873;31446;31446;29452;29452.5204341;34892;34892
Noeux;87342139;62390;b;89094;111367;99258;124073;97624;122030.251205;109714;137142
Nogent - Le Perreux;87113746;94130;b;4815980;4815980;4851652;4851652;4806191;4806191.2577;4682362;4682362
Nogent-le-Rotrou;87394296;28400;b;411036;513795;432215;540269;429097;536371.984872;446280;557850
Novéant-sur-Moselle;87192427;57680;b;110310;137888;118605;148257;118501;148127.384785;121960;152450
Nurieux;87743351;1760;c;18300;18300;22712;22712;23201;23201.927852;24107;24107
Objat;87594630;19130;c;4329;4329;6852;6852;5695;5695.328568;7532;7532
Oermingen;87215632;67970;c;30956;30956;34756;34756;36005;36005.581842;37456;37456
Ogeu-les-Bains;87672709;64680;c;7030;7030;8225;8225;7214;7214.92856;7582;7582
Orchamps;87718361;39700;c;46845;46845;54095;54095;53077;53077.6213;49207;49207
Orry-la-Ville - Coye;87276279;60560;b;1465485;1831856;1574338;1967922;1487920;1859900.55926;1451908;1814885
Ors;87295667;59360;c;523;523;141;141;226;226.6;231;231
