45.841769,-1.207384,"Place Thomas Russy"
45.786307,-0.651882,"Rue de Saint Thomas"
45.788445,-0.647935,"Ruelle de Saint Thomas"
45.784829,-0.652654,"Route de Saint-thomas"
47.557248,2.449733,"Rue Madame Ferme Thomas"
47.044841,2.344854,"Rue Thomas Edison"
47.428384,2.563226,"Bois Thomas"
47.450969,2.318121,"Les Thomas"
47.449329,2.312525,"Lotissement des Thomas"
47.448809,2.311123,"Chemin des Thomas"
46.795112,2.686608,"L'Ouche Thomas"
45.388012,2.491754,"Avenue de Saint Thomas"
45.161405,1.526564,"Rue Thomas Edison"
45.155106,1.499024,"Rue Louis Thomas"
45.148463,1.538549,"Rue Albert Thomas"
45.147643,1.538016,"Impasse Albert Thomas"
45.309525,2.016001,"Thomas"
45.19587,1.622282,"Place Thomas Rougier"
45.492836,2.309026,"Route de Thomas"
45.490042,2.310733,"Lotissement Thomas"
45.051243,1.671122,"Impasse Saint Thomas"
45.048111,1.6708,"Saint-thomas"
45.375266,2.272263,"Impasse de Saint Thomas"
45.377319,2.273166,"Passage de Saint Thomas"
45.374813,2.271896,"Chemin de Saint-thomas"
45.37738,2.273238,"Rue de Saint Thomas"
47.660189,4.625796,"Rue Saint Thomas"
47.933879,4.826245,"Rue Henri Thomas"
47.298007,5.020041,"Rue Albert Thomas"
47.331635,5.077767,"Impasse Alexis Thomas"
48.484586,-2.642776,"Rue Saint-thomas"
48.432068,-2.493158,"Les Champs Thomas Maroué"
48.759467,-3.471524,"Rue Thomas Edison"
48.343353,-3.422348,"Ker Thomas"
48.586806,-3.082553,"Ker Thomas"
48.21669,-2.913846,"Le Port Thomas"
48.837746,-3.281408,"Rue Ambroise Thomas"
48.444614,-2.743263,"Rue Abbé Thomas"
48.509201,-1.976235,"Chemin de la Font Saint Thomas"
48.701956,-3.16325,"Rue de Saint Thomas"
48.69977,-3.161396,"Cote St Thomas"
48.553666,-2.857395,"Rue du Puits Thomas"
48.723152,-3.39562,"Route de Parcou Thomas"
48.236311,-3.316046,"Passage Louis Thomas"
48.503398,-2.765019,"Rue Albert Thomas"
48.465302,-2.893355,"Les Aires Thomas"
48.473886,-2.885345,"Rue de la Croix Thomas"
44.696572,0.706499,"Les Thomas"
44.86315,0.481217,"Rue René Thomas"
44.843605,0.495487,"Rue Albert Thomas"
45.183293,0.74282,"Rue Thomas Edison"
44.826874,0.703371,"Rue Thomas Fernandez"
45.391448,1.138478,"Place Thomas Robert Bugeaud"
44.910099,1.118137,"Thomas"
44.911764,1.118772,"Route de Thomas"
44.910289,1.117311,"Hameau de Thomas"
45.543099,0.609294,"Chez Thomas"
44.696813,1.142614,"Thomas"
44.869669,1.231471,"Rue Adrien Thomas"
45.422932,0.790128,"Les Thomas Ouest"
47.2353,5.98249,"Rue Thomas Edison"
47.2414,5.99156,"Rue Albert Thomas"
46.888122,6.331585,"Rue Thomas Edison"
47.004738,6.541964,"Rue les Champs Thomas"
47.004883,6.541921,"Les Champ Thomas"
47.509618,6.800045,"Rue Albert Thomas"
47.50982,6.799714,"Place Albert Thomas"
46.905666,6.349357,"Rue Emile Thomas"
47.460168,6.828468,"Rue Ambroise Thomas"
45.000613,5.182157,"Route de la Croix Thomas"
45.037162,5.085011,"Rue Thomas Edison"
45.175706,5.052355,"Chemin des Thomas"
44.780646,4.826353,"Impasse Thomas Edison"
45.056385,5.256166,"Route de Saint Thomas"
45.02298,5.288283,"Route de Saint Thomas"
45.033059,5.309492,"Route de Saint-thomas"
44.941114,4.924825,"Allee Thomas Edison"
44.917175,4.882286,"Rue Albert Thomas"
49.426711,0.622931,"Route de Saint Thomas"
